anio,semana,chart_date,country_code,banda,label_group,pct_streams
2021,3,2021-01-21,CO,200,Orchard,0.14562298
2021,3,2021-01-21,CO,200,Warner,0.09375742
2021,3,2021-01-21,CO,200,Indies,0.03677489
2021,4,2021-01-28,CO,10,Universal,0.276911
2021,4,2021-01-28,CO,10,INgrooves,0.0
2021,4,2021-01-28,CO,10,Virgin,0.0
2021,4,2021-01-28,CO,10,Sony,0.54928797
2021,4,2021-01-28,CO,10,Orchard,0.17380104
2021,4,2021-01-28,CO,10,Warner,0.0
2021,4,2021-01-28,CO,10,Indies,0.0
2021,4,2021-01-28,CO,20,Universal,0.21097458
2021,4,2021-01-28,CO,20,INgrooves,0.03498035
2021,4,2021-01-28,CO,20,Virgin,0.0
2021,4,2021-01-28,CO,20,Sony,0.57260607
2021,4,2021-01-28,CO,20,Orchard,0.14362183
2021,4,2021-01-28,CO,20,Warner,0.0
2021,4,2021-01-28,CO,20,Indies,0.03781717
2021,4,2021-01-28,CO,50,Universal,0.31360217
2021,4,2021-01-28,CO,50,INgrooves,0.05760706
2021,4,2021-01-28,CO,50,Virgin,0.0
2021,4,2021-01-28,CO,50,Sony,0.43501648
2021,4,2021-01-28,CO,50,Orchard,0.12714909
2021,4,2021-01-28,CO,50,Warner,0.04532723
2021,4,2021-01-28,CO,50,Indies,0.02129797
2021,4,2021-01-28,CO,100,Universal,0.3133364
2021,4,2021-01-28,CO,100,INgrooves,0.05280178
2021,4,2021-01-28,CO,100,Virgin,0.0
2021,4,2021-01-28,CO,100,Sony,0.38980567
2021,4,2021-01-28,CO,100,Orchard,0.14527248
2021,4,2021-01-28,CO,100,Warner,0.06698316
2021,4,2021-01-28,CO,100,Indies,0.03180051
2021,4,2021-01-28,CO,200,Universal,0.30288572
2021,4,2021-01-28,CO,200,INgrooves,0.04943499
2021,4,2021-01-28,CO,200,Virgin,0.00250792
2021,4,2021-01-28,CO,200,Sony,0.34512196
2021,4,2021-01-28,CO,200,Orchard,0.16737581
2021,4,2021-01-28,CO,200,Warner,0.09961385
2021,4,2021-01-28,CO,200,Indies,0.03305977
2021,5,2021-02-04,CO,10,Universal,0.26616993
2021,5,2021-02-04,CO,10,INgrooves,0.0
2021,5,2021-02-04,CO,10,Virgin,0.0
2021,5,2021-02-04,CO,10,Sony,0.56192461
2021,5,2021-02-04,CO,10,Orchard,0.17190546
2021,5,2021-02-04,CO,10,Warner,0.0
2021,5,2021-02-04,CO,10,Indies,0.0
2021,5,2021-02-04,CO,20,Universal,0.24123674
2021,5,2021-02-04,CO,20,INgrooves,0.03522013
2021,5,2021-02-04,CO,20,Virgin,0.0
2021,5,2021-02-04,CO,20,Sony,0.57973813
2021,5,2021-02-04,CO,20,Orchard,0.10618976
2021,5,2021-02-04,CO,20,Warner,0.0
2021,5,2021-02-04,CO,20,Indies,0.03761524
2021,5,2021-02-04,CO,50,Universal,0.31929174
