anio,semana,mes,country_code,banda,conteo_universal
2019,3,ENERO,CO,100,34
2019,3,ENERO,CO,200,64
2019,3,ENERO,PE,10,2
2019,3,ENERO,PE,30,12
2019,3,ENERO,PE,50,16
2019,3,ENERO,PE,100,24
2019,3,ENERO,PE,200,58
2019,3,ENERO,EC,10,3
2019,3,ENERO,EC,30,13
2019,3,ENERO,EC,50,13
2019,3,ENERO,EC,100,34
2019,3,ENERO,EC,200,63
2019,3,ENERO,PN,10,2
2019,3,ENERO,PN,30,9
2019,3,ENERO,PN,50,15
2019,3,ENERO,PN,100,25
2019,3,ENERO,PN,200,53
2019,3,ENERO,CR,10,2
2019,3,ENERO,CR,30,11
2019,3,ENERO,CR,50,17
2019,3,ENERO,CR,100,33
2019,3,ENERO,CR,200,75
2019,3,ENERO,GT,10,2
2019,3,ENERO,GT,30,11
2019,3,ENERO,GT,50,17
2019,3,ENERO,GT,100,34
2019,3,ENERO,GT,200,64
2019,3,ENERO,SV,10,1
2019,3,ENERO,SV,30,12
2019,3,ENERO,SV,50,18
2019,3,ENERO,SV,100,29
2019,3,ENERO,SV,200,61
2019,3,ENERO,HN,10,2
2019,3,ENERO,HN,30,13
2019,3,ENERO,HN,50,17
2019,3,ENERO,HN,100,29
2019,3,ENERO,HN,200,61
2019,3,ENERO,NI,10,3
2019,3,ENERO,NI,30,13
2019,3,ENERO,NI,50,18
2019,3,ENERO,NI,100,31
2019,3,ENERO,NI,200,65
2019,3,ENERO,DO,10,1
2019,3,ENERO,DO,30,4
2019,3,ENERO,DO,50,9
2019,3,ENERO,DO,100,23
2019,3,ENERO,DO,200,43
2019,3,ENERO,MX,10,3
2019,3,ENERO,MX,30,11
2019,3,ENERO,MX,50,19
2019,3,ENERO,MX,100,34
2019,3,ENERO,MX,200,70
2019,3,ENERO,SP,10,4
2019,3,ENERO,SP,30,9
2019,3,ENERO,SP,50,21
2019,3,ENERO,SP,100,41
2019,3,ENERO,SP,200,75
2019,3,ENERO,CL,10,3
2019,3,ENERO,CL,30,9
2019,3,ENERO,CL,50,11
2019,3,ENERO,CL,100,24
2019,3,ENERO,CL,200,47
2019,3,ENERO,AR,10,3
2019,3,ENERO,AR,30,8
2019,3,ENERO,AR,50,12
2019,3,ENERO,AR,100,23
2019,3,ENERO,AR,200,45
2019,3,ENERO,BR,10,3
2019,3,ENERO,BR,30,5
2019,3,ENERO,BR,50,11
2019,3,ENERO,BR,100,21
2019,3,ENERO,BR,200,42
2019,3,ENERO,PT,10,3
2019,3,ENERO,PT,30,11
2019,3,ENERO,PT,50,21
2019,3,ENERO,PT,100,32
2019,3,ENERO,PT,200,66
2019,4,ENERO,CO,10,3
2019,4,ENERO,CO,30,12
2019,4,ENERO,CO,50,18
2019,4,ENERO,CO,100,37
2019,4,ENERO,CO,200,68
2019,4,ENERO,PE,10,2
2019,4,ENERO,PE,30,12
2019,4,ENERO,PE,50,17
2019,4,ENERO,PE,100,27
2019,4,ENERO,PE,200,59
2019,4,ENERO,EC,10,4
2019,4,ENERO,EC,30,13
2019,4,ENERO,EC,50,13
2019,4,ENERO,EC,100,36
2019,4,ENERO,EC,200,68
2019,4,ENERO,PN,10,2
2019,4,ENERO,PN,30,10
2019,4,ENERO,PN,50,15
2019,4,ENERO,PN,100,27
2019,4,ENERO,PN,200,53
2019,4,ENERO,CR,10,3
2019,4,ENERO,CR,30,12
2019,4,ENERO,CR,50,20
2019,4,ENERO,CR,100,36
2019,4,ENERO,CR,200,80
2019,4,ENERO,GT,10,3
2019,4,ENERO,GT,30,12
2019,4,ENERO,GT,50,20
2019,4,ENERO,GT,100,36
2019,4,ENERO,GT,200,67
2019,4,ENERO,SV,10,3
2019,4,ENERO,SV,30,14
2019,4,ENERO,SV,50,21
2019,4,ENERO,SV,100,33
2019,4,ENERO,SV,200,63
2019,4,ENERO,HN,10,2
2019,4,ENERO,HN,30,13
2019,4,ENERO,HN,50,19
2019,4,ENERO,HN,100,33
2019,4,ENERO,HN,200,63
2019,4,ENERO,NI,10,5
2019,4,ENERO,NI,30,12
2019,4,ENERO,NI,50,19
2019,4,ENERO,NI,100,33
2019,4,ENERO,NI,200,70
2019,4,ENERO,DO,10,2
2019,4,ENERO,DO,30,5
2019,4,ENERO,DO,50,10
2019,4,ENERO,DO,100,24
2019,4,ENERO,DO,200,44
2019,4,ENERO,MX,10,3
2019,4,ENERO,MX,30,15
2019,4,ENERO,MX,50,21
2019,4,ENERO,MX,100,37
2019,4,ENERO,MX,200,71
2019,4,ENERO,SP,10,4
2019,4,ENERO,SP,30,12
2019,4,ENERO,SP,50,23
2019,4,ENERO,SP,100,48
2019,4,ENERO,SP,200,84
2019,4,ENERO,CL,10,3
2019,4,ENERO,CL,30,9
2019,4,ENERO,CL,50,13
2019,4,ENERO,CL,100,24
2019,4,ENERO,CL,200,50
2019,4,ENERO,AR,10,4
2019,4,ENERO,AR,30,10
2019,4,ENERO,AR,50,14
2019,4,ENERO,AR,100,26
2019,4,ENERO,AR,200,52
2019,4,ENERO,BR,10,5
2019,4,ENERO,BR,30,6
2019,4,ENERO,BR,50,11
2019,4,ENERO,BR,100,23
2019,4,ENERO,BR,200,45
2019,4,ENERO,PT,10,4
2019,4,ENERO,PT,30,12
2019,4,ENERO,PT,50,22
2019,4,ENERO,PT,100,36
2019,4,ENERO,PT,200,68
2019,5,ENERO,CO,10,2
2019,5,ENERO,CO,30,12
2019,5,ENERO,CO,50,17
2019,5,ENERO,CO,100,36
2019,5,ENERO,CO,200,69
2019,5,ENERO,PE,10,3
2019,5,ENERO,PE,30,12
2019,5,ENERO,PE,50,18
2019,5,ENERO,PE,100,28
2019,5,ENERO,PE,200,62
2019,5,ENERO,EC,10,4
2019,5,ENERO,EC,30,13
2019,5,ENERO,EC,50,13
2019,5,ENERO,EC,100,38
2019,5,ENERO,EC,200,67
2019,5,ENERO,PN,10,2
2019,5,ENERO,PN,30,9
2019,5,ENERO,PN,50,16
2019,5,ENERO,PN,100,29
2019,5,ENERO,PN,200,54
2019,5,ENERO,CR,10,3
2019,5,ENERO,CR,30,12
2019,5,ENERO,CR,50,21
2019,5,ENERO,CR,100,39
2019,5,ENERO,CR,200,78
2019,5,ENERO,GT,10,3
2019,5,ENERO,GT,30,13
2019,5,ENERO,GT,50,21
2019,5,ENERO,GT,100,38
2019,5,ENERO,GT,200,67
2019,5,ENERO,SV,10,2
2019,5,ENERO,SV,30,14
2019,5,ENERO,SV,50,21
2019,5,ENERO,SV,100,35
2019,5,ENERO,SV,200,64
2019,5,ENERO,HN,10,2
2019,5,ENERO,HN,30,13
2019,5,ENERO,HN,50,20
2019,5,ENERO,HN,100,36
2019,5,ENERO,HN,200,61
2019,5,ENERO,NI,10,4
2019,5,ENERO,NI,30,13
2019,5,ENERO,NI,50,19
2019,5,ENERO,NI,100,36
2019,5,ENERO,NI,200,68
2019,5,ENERO,DO,10,1
2019,5,ENERO,DO,30,5
2019,5,ENERO,DO,50,10
2019,5,ENERO,DO,100,26
2019,5,ENERO,DO,200,45
2019,5,ENERO,MX,10,3
2019,5,ENERO,MX,30,14
2019,5,ENERO,MX,50,22
2019,5,ENERO,MX,100,38
2019,5,ENERO,MX,200,72
2019,5,ENERO,SP,10,4
2019,5,ENERO,SP,30,11
