anio,semana,country_code,label_group,streams_top200,chart_date
2025,16,CO,Warner,23.172425,2025-04-17
2025,16,CO,Indies,15.433299,2025-04-17
2025,17,CO,Universal,17.9449356,2025-04-24
2025,17,CO,INgrooves,3.62014,2025-04-24
2025,17,CO,Virgin,1.046875,2025-04-24
2025,17,CO,Sony,20.379561,2025-04-24
2025,17,CO,Orchard,11.194357,2025-04-24
2025,17,CO,Warner,20.916598399999998,2025-04-24
2025,17,CO,Indies,13.322378,2025-04-24
2025,18,CO,Universal,19.939960399999997,2025-05-01
2025,18,CO,INgrooves,4.131053,2025-05-01
2025,18,CO,Virgin,1.286546,2025-05-01
2025,18,CO,Sony,22.216364,2025-05-01
2025,18,CO,Orchard,11.345916,2025-05-01
2025,18,CO,Warner,26.1883476,2025-05-01
2025,18,CO,Indies,15.626514,2025-05-01
2025,19,CO,Universal,19.679810600000003,2025-05-08
2025,19,CO,INgrooves,3.969473,2025-05-08
2025,19,CO,Virgin,1.946487,2025-05-08
2025,19,CO,Sony,22.303137,2025-05-08
2025,19,CO,Orchard,11.755331,2025-05-08
2025,19,CO,Warner,22.563581399999997,2025-05-08
2025,19,CO,Indies,15.042509,2025-05-08
2025,20,CO,Universal,20.6524677,2025-05-15
2025,20,CO,INgrooves,3.302526,2025-05-15
2025,20,CO,Virgin,2.884884,2025-05-15
2025,20,CO,Sony,22.7335795,2025-05-15
2025,20,CO,Orchard,13.765754,2025-05-15
2025,20,CO,Warner,23.9023018,2025-05-15
2025,20,CO,Indies,14.808359,2025-05-15
2025,21,CO,Universal,20.0055622,2025-05-22
2025,21,CO,INgrooves,3.397655,2025-05-22
2025,21,CO,Virgin,2.976952,2025-05-22
2025,21,CO,Sony,25.269083,2025-05-22
2025,21,CO,Orchard,17.597716,2025-05-22
2025,21,CO,Warner,20.9679018,2025-05-22
2025,21,CO,Indies,13.189172,2025-05-22
2025,22,CO,Universal,20.181760399999998,2025-05-29
2025,22,CO,INgrooves,3.47739,2025-05-29
2025,22,CO,Virgin,3.576844,2025-05-29
2025,22,CO,Sony,29.45474,2025-05-29
2025,22,CO,Orchard,15.886189,2025-05-29
2025,22,CO,Warner,22.840767600000003,2025-05-29
2025,22,CO,Indies,13.379356,2025-05-29
2025,23,CO,Universal,16.3959014,2025-06-05
