anio,semana,country_code,banda,label_group,tracks,streams_millones,pct_streams
2020,1,CO,10,Universal,3.0,1.9398631729956002,0.3852799132851701
2020,1,CO,10,Ingrooves,1.0,0.390876,0.07763262557982265
2020,1,CO,10,Sony,1.0,0.40771942860640004,0.0809779309617881
2020,1,CO,10,The Orchard,3.0,1.3594863983980001,0.2700101785417717
2020,1,CO,10,Warner,1.0,0.458342,0.09103217612108973
2020,1,CO,10,Independientes,1.0,0.4786579999999985,0.09506717551035783
2020,1,CO,50,Universal,10.0,4.0127681729955995,0.2689329495938797
2020,1,CO,50,Ingrooves,12.0,2.9331519999999998,0.196577819839096
2020,1,CO,50,Sony,11.0,2.9245394286064,0.19600061125673737
2020,1,CO,50,The Orchard,5.0,1.896345398398,0.12709175797196356
2020,1,CO,50,Warner,8.0,1.92064,0.1287199653805058
2020,1,CO,50,Independientes,4.0,1.2336279999999995,0.08267689595781748
2020,1,CO,100,Universal,25.0,5.7947171729956,0.2787076344558513
2020,1,CO,100,Ingrooves,17.0,3.584254,0.1723913219240875
2020,1,CO,100,Sony,25.0,4.577265428606401,0.2201520422478101
2020,1,CO,100,The Orchard,5.0,1.896345398398,0.09120823748944455
2020,1,CO,100,Warner,14.0,2.6019059999999996,0.1251434789114317
2020,1,CO,100,Independientes,14.0,2.3368949999999984,0.11239728497137484
2020,1,CO,200,Universal,52.0,7.847272172995602,0.2761394535399818
2020,1,CO,200,Ingrooves,20.0,3.82818,0.13471070073120048
2020,1,CO,200,Sony,55.0,6.7976154286064014,0.23920284252276222
2020,1,CO,200,The Orchard,11.0,2.3743153983979997,0.08355032706797327
2020,1,CO,200,Warner,23.0,3.297928999999999,0.11605157713371551
2020,1,CO,200,Independientes,39.0,4.272475000000004,0.1503450990043666
2020,1,CO,1000,Universal,269.0,15.853078147731098,0.2737602617539826
2020,1,CO,1000,Ingrooves,26.0,4.073614,0.0703455584166344
2020,1,CO,1000,Sony,327.0,16.928189428606395,0.29232591461485646
2020,1,CO,1000,The Orchard,40.0,3.5113784236625007,0.06063654436199896
2020,1,CO,1000,Warner,109.0,6.433366999999999,0.11109515877403894
2020,1,CO,1000,Independientes,229.0,11.108989999999906,0.1918365620784887
2020,2,CO,10,Universal,3.0,1.895528404812,0.37027962184029045
2020,2,CO,10,Ingrooves,1.0,0.425591,0.08313654078650472
2020,2,CO,10,Sony,1.0,0.39102320631,0.07638393842882288
2020,2,CO,10,The Orchard,3.0,1.357754388878,0.265228830330086
2020,2,CO,10,Warner,1.0,0.521545,0.10188055472154628
2020,2,CO,10,Independientes,1.0,0.5277390000000004,0.10309051389274972
2020,2,CO,50,Universal,11.0,4.124686404812,0.2757257590095311
2020,2,CO,50,Ingrooves,12.0,2.975884,0.1989309717381335
2020,2,CO,50,Sony,11.0,2.84019220631,0.1898602887492663
2020,2,CO,50,The Orchard,5.0,1.8950893888779998,0.1266823483913103
2020,2,CO,50,Warner,8.0,2.010007,0.13436432525946929
2020,2,CO,50,Independientes,3.0,1.1135210000000022,0.07443630685228947
2020,2,CO,100,Universal,28.0,6.052792404811998,0.29175893748152637
2020,2,CO,100,Ingrooves,18.0,3.7471870000000003,0.1806232932745933
2020,2,CO,100,Sony,24.0,4.334538206310001,0.2089350132908395
2020,2,CO,100,The Orchard,5.0,1.8950893888779998,0.09134779942097386
2020,2,CO,100,Warner,14.0,2.695413,0.1299252940392757
2020,2,CO,100,Independientes,11.0,2.0208479999999973,0.09740966249279122
2020,2,CO,200,Universal,61.0,8.521931404811998,0.30287533092602015
2020,2,CO,200,Ingrooves,20.0,3.9002380000000003,0.1386171536505461
2020,2,CO,200,Sony,57.0,6.666749206310001,0.23694087362892463
2020,2,CO,200,The Orchard,13.0,2.5148743888780003,0.08938037360154047
2020,2,CO,200,Warner,26.0,3.597842,0.1278697908497861
2020,2,CO,200,Independientes,23.0,2.9351279999999953,0.1043164773431825
2020,2,CO,1000,Universal,307.0,17.090861413307522,0.3054342760424735
2020,2,CO,1000,Ingrooves,28.0,4.204111,0.07513252659619436
2020,2,CO,1000,Sony,331.0,16.21769120631,0.28982967288136624
2020,2,CO,1000,The Orchard,44.0,3.6586063803825013,0.06538370209042878
2020,2,CO,1000,Warner,130.0,7.241336000000006,0.12941139508732763
2020,2,CO,1000,Independientes,160.0,7.543331999999943,0.1348084273022096
2020,3,CO,10,Universal,4.0,2.8011040446096,0.44726122863566276
2020,3,CO,10,Ingrooves,1.0,0.525082,0.08384151988442215
2020,3,CO,10,Sony,1.0,0.40046895539039995,0.06394415707729074
2020,3,CO,10,The Orchard,2.0,1.150236,0.18366185560689224
2020,3,CO,10,Warner,1.0,0.650062,0.10379747563067716
2020,3,CO,10,Independientes,1.0,0.7358390000000004,0.11749376316505486
2020,3,CO,50,Universal,12.0,5.2297010443701,0.30705066463360303
2020,3,CO,50,Ingrooves,10.0,2.8796549999999996,0.16907275849301953
2020,3,CO,50,Sony,12.0,3.1356499553904,0.18410295248089395
2020,3,CO,50,The Orchard,5.0,2.0302970002395004,0.11920452776134471
2020,3,CO,50,Warner,7.0,2.099068,0.12324226930810307
2020,3,CO,50,Independientes,4.0,1.6576750000000011,0.0973268273230357
2020,3,CO,100,Universal,32.0,7.550248044370101,0.3246473196566034
2020,3,CO,100,Ingrooves,18.0,4.038371999999999,0.17364285754212647
